group_id,id,total.minutes,date_arrive,id_count,date
2018-08-05_2513,2513,27.0,05/08/2018,1,2018-08-05
2018-08-05_3,1102_1104,538.0,05/08/2018,2,2018-08-05
2018-08-05_5,1030_1119,113.0,05/08/2018,2,2018-08-05
2018-08-05_6,1007_1010_1032_2539_2544_3118,80.0,05/08/2018,6,2018-08-05
2018-08-05_7,2030_2031_2538,432.0,05/08/2018,3,2018-08-05
2018-08-05_8,1016_3077_3119,42.0,05/08/2018,3,2018-08-05
2018-08-05_9,1121_1122_3117,382.0,05/08/2018,3,2018-08-05
2018-08-06_1,3077_3117,89.0,06/08/2018,2,2018-08-06
2018-08-06_10,1030_1119,189.0,06/08/2018,2,2018-08-06
2018-08-06_1032,1032,13.0,06/08/2018,1,2018-08-06
2018-08-06_11,1028_2522_3117,226.66666666666666,06/08/2018,3,2018-08-06
2018-08-06_1101,1101,142.0,06/08/2018,1,2018-08-06
2018-08-06_1119,1119,5.0,06/08/2018,1,2018-08-06
2018-08-06_1122,1122,157.0,06/08/2018,1,2018-08-06
2018-08-06_1124,1124,54.0,06/08/2018,1,2018-08-06
2018-08-06_12,1116_1124,440.5,06/08/2018,2,2018-08-06
2018-08-06_13,1006_2055_2513_2523,365.25,06/08/2018,4,2018-08-06
2018-08-06_14,1010_2539,75.0,06/08/2018,2,2018-08-06
2018-08-06_15,1032_1122,6.0,06/08/2018,2,2018-08-06
2018-08-06_16,1016_3119,23.0,06/08/2018,2,2018-08-06
2018-08-06_17,1008_1016_3119,15.0,06/08/2018,3,2018-08-06
2018-08-06_18,2038_2039,293.0,06/08/2018,2,2018-08-06
2018-08-06_19,1010_2539,3.0,06/08/2018,2,2018-08-06
2018-08-06_2,1007_2523,31.0,06/08/2018,2,2018-08-06
2018-08-06_20,1010_1032_2539_2544_3118,92.8,06/08/2018,5,2018-08-06
2018-08-06_2030,2030,202.0,06/08/2018,1,2018-08-06
2018-08-06_2031,2031,151.0,06/08/2018,1,2018-08-06
2018-08-06_21,1101_1102,190.0,06/08/2018,2,2018-08-06
2018-08-06_22,1031_1119_1120,158.0,06/08/2018,3,2018-08-06
2018-08-06_23,1016_1035_3077,166.66666666666666,06/08/2018,3,2018-08-06
2018-08-06_24,1122_2030,62.0,06/08/2018,2,2018-08-06
2018-08-06_25,1016_1028_1032_1035_1101_1119_1121_1122_1124_2055_2522_2544_3077_3117_3118,174.4,06/08/2018,15,2018-08-06
2018-08-06_3,1030_1119,48.0,06/08/2018,2,2018-08-06
2018-08-06_3076,3076,104.0,06/08/2018,1,2018-08-06
2018-08-06_4,1006_1032,62.0,06/08/2018,2,2018-08-06
2018-08-06_5,2055_2513,9.0,06/08/2018,2,2018-08-06
2018-08-06_7,1120_1121,192.5,06/08/2018,2,2018-08-06
2018-08-06_8,1102_3077,145.0,06/08/2018,2,2018-08-06
2018-08-06_9,1007_2544_3118,122.0,06/08/2018,3,2018-08-06
2018-08-07_1,1006_1032,37.0,07/08/2018,2,2018-08-07
2018-08-07_10,1030_1119_1120,508.3333333333333,07/08/2018,3,2018-08-07
2018-08-07_11,1008_1011_1016_2539_3119,4.2,07/08/2018,5,2018-08-07
2018-08-07_1101,1101,60.0,07/08/2018,1,2018-08-07
2018-08-07_1103,1103,64.0,07/08/2018,1,2018-08-07
2018-08-07_1115,1115,351.0,07/08/2018,1,2018-08-07
2018-08-07_1124,1124,37.0,07/08/2018,1,2018-08-07
2018-08-07_12,1023_1106,351.0,07/08/2018,2,2018-08-07
2018-08-07_15,2513_2539_2544_2547,42.0,07/08/2018,4,2018-08-07
2018-08-07_16,1007_2523_3118,51.0,07/08/2018,3,2018-08-07
2018-08-07_17,3040_3041_3077,51.0,07/08/2018,3,2018-08-07
2018-08-07_18,1006_1032,1.0,07/08/2018,2,2018-08-07
2018-08-07_19,1006_1032_1119_1122_2055_2523,108.5,07/08/2018,6,2018-08-07
2018-08-07_2,1122_3040,185.0,07/08/2018,2,2018-08-07
2018-08-07_20,1011_2513_2539,45.666666666666664,07/08/2018,3,2018-08-07
2018-08-07_2030,2030,423.0,07/08/2018,1,2018-08-07
2018-08-07_3,1030_1119,32.0,07/08/2018,2,2018-08-07
2018-08-07_3076,3076,335.0,07/08/2018,1,2018-08-07
2018-08-07_3142,3142,211.0,07/08/2018,1,2018-08-07
2018-08-07_4,1035_3117,87.0,07/08/2018,2,2018-08-07
2018-08-07_7,1006_1010_1032_1102_1104,377.4,07/08/2018,5,2018-08-07
2018-08-07_8,1010_2522_2539_3077,53.75,07/08/2018,4,2018-08-07
2018-08-07_9,1028_1116_1124_2055,434.0,07/08/2018,4,2018-08-07
2018-08-08_1,1035_1120,40.0,08/08/2018,2,2018-08-08
2018-08-08_10,1007_1010_2539_3118,79.0,08/08/2018,4,2018-08-08
2018-08-08_11,2522_3117,29.0,08/08/2018,2,2018-08-08
2018-08-08_1101,1101,75.0,08/08/2018,1,2018-08-08
