group_id,kcal,type,date,group_size,forager_ids
2018-08-05_3135,212.52345680000002,foraging,2018-08-05,1,{'3135'}
2018-08-05_3142,11614.15,foraging,2018-08-05,1,{'3142'}
2018-08-06_1008_1016_3119,117.71428580000001,foraging,2018-08-06,3,"{'1008', '1016', '3119'}"
2018-08-06_1016,357.0,foraging,2018-08-06,1,{'1016'}
2018-08-06_1016_1035_2544,174.47850000000003,foraging,2018-08-06,3,"{'2544', '1016', '1035'}"
2018-08-06_1028_2055,797.616,foraging,2018-08-06,2,"{'1028', '2055'}"
2018-08-06_1032,199.404,foraging,2018-08-06,1,{'1032'}
2018-08-06_1032_1122,3106.952380833333,foraging,2018-08-06,2,"{'1032', '1122'}"
2018-08-06_1035,1071.0,foraging,2018-08-06,1,{'1035'}
2018-08-06_1101,1121.6475,foraging,2018-08-06,1,{'1101'}
2018-08-06_1102,694.4914174375,foraging,2018-08-06,1,{'1102'}
2018-08-06_1103,1895.6413333333333,foraging,2018-08-06,1,{'1103'}
2018-08-06_1104,536.475,foraging,2018-08-06,1,{'1104'}
2018-08-06_1106,1305.538114325,foraging,2018-08-06,1,{'1106'}
2018-08-06_1116,2261.0,foraging,2018-08-06,1,{'1116'}
2018-08-06_1116_1124,28767.5,foraging,2018-08-06,2,"{'1124', '1116'}"
2018-08-06_1119,1161.4455,foraging,2018-08-06,1,{'1119'}
2018-08-06_1120,235.42857160000003,foraging,2018-08-06,1,{'1120'}
2018-08-06_1121,199.404,foraging,2018-08-06,1,{'1121'}
2018-08-06_1121_1122,408.18995820000004,foraging,2018-08-06,2,"{'1121', '1122'}"
2018-08-06_1124,1046.871,foraging,2018-08-06,1,{'1124'}
2018-08-06_2030,2856.520265083333,foraging,2018-08-06,1,{'2030'}
2018-08-06_2031,235.42857160000003,foraging,2018-08-06,1,{'2031'}
2018-08-06_2039,4380.379047633333,foraging,2018-08-06,1,{'2039'}
2018-08-06_2055_2523,149.553,foraging,2018-08-06,2,"{'2523', '2055'}"
2018-08-06_2522,124.6275,foraging,2018-08-06,1,{'2522'}
2018-08-06_3002,1573.0,foraging,2018-08-06,1,{'3002'}
2018-08-06_3040,1048.45125,foraging,2018-08-06,1,{'3040'}
2018-08-06_3065,2079.0,foraging,2018-08-06,1,{'3065'}
2018-08-06_3077,476.0,foraging,2018-08-06,1,{'3077'}
2018-08-06_3077_3117,500.75984250000005,foraging,2018-08-06,2,"{'3077', '3117'}"
2018-08-06_3077_3118,299.106,foraging,2018-08-06,2,"{'3118', '3077'}"
